id,domain,category,question,answer,instruction,input,output,source_document,keyword,created_date
0078,일반,knowledge,"MockLLM: 검색 컨텍스트에서 답 추출, 출처ID 에 관하여 기술하라. (변형 1)","MockLLM: 검색 컨텍스트에서 답 추출, 출처ID 인용",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"MockLLM: 검색 컨텍스트에서 답 추출, 출처ID 인용","MockLLM: 검색 컨텍스트에서 답 추출, 출처ID 인용",plan.md,"검증, py, test",2026-06-22
0079,일반,knowledge,"근거 부족(점수 임계 미달) → ""관련 문서를 찾지 못에 관하여 기술하라. (변형 1)","근거 부족(점수 임계 미달) → ""관련 문서를 찾지 못함""",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"근거 부족(점수 임계 미달) → ""관련 문서를 찾지 못함""","근거 부족(점수 임계 미달) → ""관련 문서를 찾지 못함""",plan.md,"검증, py, test",2026-06-22
0080,일반,knowledge,응답 후처리② 권한 재검증에 관하여 기술하라. (변형 1),응답 후처리② 권한 재검증,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),응답 후처리② 권한 재검증,응답 후처리② 권한 재검증,plan.md,"검증, py, test",2026-06-22
0081,일반,knowledge,골든셋 + 평가 → 검증: `test_evaluatio에 관하여 기술하라. (변형 1),골든셋 + 평가 → 검증: `test_evaluation` (G2 Context Recall≥0.9),도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),골든셋 + 평가 → 검증: `test_evaluation` (G2 Con,골든셋 + 평가 → 검증: `test_evaluation` (G2 Context Recall≥0.9),plan.md,"검증, py, test",2026-06-22
0082,일반,knowledge,"골든셋 문서/질의 구성, Context Recall·인에 관하여 기술하라. (변형 1)","골든셋 문서/질의 구성, Context Recall·인용 정확도 계산",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"골든셋 문서/질의 구성, Context Recall·인용 정확도 계산","골든셋 문서/질의 구성, Context Recall·인용 정확도 계산",plan.md,"검증, py, test",2026-06-22
0083,일반,knowledge,FastAPI + README → 검증: 앱 impor에 관하여 기술하라. (변형 1),FastAPI + README → 검증: 앱 import 및 TestClient 스모크,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),FastAPI + README → 검증: 앱 import 및 TestCl,FastAPI + README → 검증: 앱 import 및 TestClient 스모크,plan.md,"검증, py, test",2026-06-22
0084,일반,knowledge,"/ingest, /query 엔드포인트에 관하여 기술하라. (변형 1)","/ingest, /query 엔드포인트",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"/ingest, /query 엔드포인트","/ingest, /query 엔드포인트",plan.md,"검증, py, test",2026-06-22
0085,일반,knowledge,전체 검증 → status.md 갱신에 관하여 기술하라. (변형 1),전체 검증 → status.md 갱신,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),전체 검증 → status.md 갱신,전체 검증 → status.md 갱신,plan.md,"검증, py, test",2026-06-22
0086,일반,knowledge,"`pytest` 전체 통과, G1~G5 PASS 기록에 관하여 기술하라. (변형 1)","`pytest` 전체 통과, G1~G5 PASS 기록",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"`pytest` 전체 통과, G1~G5 PASS 기록","`pytest` 전체 통과, G1~G5 PASS 기록",plan.md,"검증, py, test",2026-06-22
0087,일반,knowledge,의사결정 필요 시점에 관하여 기술하라. (변형 1),의사결정 필요 시점,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),의사결정 필요 시점,의사결정 필요 시점,plan.md,"검증, py, test",2026-06-22
0088,일반,knowledge,외부 임베딩 모델(sentence-transformer에 관하여 기술하라. (변형 1),"외부 임베딩 모델(sentence-transformers) 다운로드 필요 여부 → **기본은 결정적 임베더(오프라인)**, 사용자가 원하면 교체.",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),외부 임베딩 모델(sentence-transformers) 다운로드 필요,"외부 임베딩 모델(sentence-transformers) 다운로드 필요 여부 → **기본은 결정적 임베더(오프라인)**, 사용자가 원하면 교체.",plan.md,"검증, py, test",2026-06-22
0089,일반,knowledge,"(이미 경량 스택으로 합의됨, 추가 질문 불필요)에 관하여 기술하라. (변형 1)","(이미 경량 스택으로 합의됨, 추가 질문 불필요)",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"(이미 경량 스택으로 합의됨, 추가 질문 불필요)","(이미 경량 스택으로 합의됨, 추가 질문 불필요)",plan.md,"검증, py, test",2026-06-22
0090,일반,knowledge,그 외 기획서 해석상 모호함 발생 시 사용자에게 질문.에 관하여 기술하라. (변형 1),그 외 기획서 해석상 모호함 발생 시 사용자에게 질문.,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),그 외 기획서 해석상 모호함 발생 시 사용자에게 질문.,그 외 기획서 해석상 모호함 발생 시 사용자에게 질문.,plan.md,"검증, py, test",2026-06-22
0091,일반,knowledge,plan.md — 실행 계획서에 관하여 기술하라. (변형 2),plan.md — 실행 계획서,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),plan.md — 실행 계획서,plan.md — 실행 계획서,plan.md,"검증, py, test",2026-06-22
0092,일반,knowledge,> 근거: `docs/goal.md`.에 관하여 기술하라. (변형 2),> 근거: `docs/goal.md`.,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),> 근거: `docs/goal.md`.,> 근거: `docs/goal.md`.,plan.md,"검증, py, test",2026-06-22
0093,일반,knowledge,"각 단계는 **활동 → 검증** 형식이며, 검증 미달 에 관하여 기술하라. (변형 2)","각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회귀한다.",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),"각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회","각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회귀한다.",plan.md,"검증, py, test",2026-06-22
0094,일반,knowledge,아키텍처 (PoC)에 관하여 기술하라. (변형 2),아키텍처 (PoC),도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),아키텍처 (PoC),아키텍처 (PoC),plan.md,"검증, py, test",2026-06-22
0095,일반,knowledge,rag_poc/에 관하여 기술하라. (변형 2),rag_poc/,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),rag_poc/,rag_poc/,plan.md,"검증, py, test",2026-06-22
0096,일반,knowledge,models.py        # 도메인 모델: Doc에 관하여 기술하라. (변형 2),"models.py        # 도메인 모델: Document, Chunk, User, SecurityLevel, RetrievedChunk",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),"models.py        # 도메인 모델: Document, Chu","models.py        # 도메인 모델: Document, Chunk, User, SecurityLevel, RetrievedChunk",plan.md,"검증, py, test",2026-06-22
0097,일반,knowledge,deidentify.py    # 비식별화(주민번호/전에 관하여 기술하라. (변형 2),deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),plan.md,"검증, py, test",2026-06-22
0098,일반,knowledge,ingest.py        # 문서 처리 파이프라인에 관하여 기술하라. (변형 2),ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→청킹→메타태깅,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→,ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→청킹→메타태깅,plan.md,"검증, py, test",2026-06-22
0099,일반,knowledge,embedding.py     # 교체형 임베딩(기본:에 관하여 기술하라. (변형 2),"embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 임베더, 옵션: sentence-transformers)",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 ,"embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 임베더, 옵션: sentence-transformers)",plan.md,"검증, py, test",2026-06-22
0100,일반,knowledge,vectorstore.py   # 임베디드 벡터 저장소에 관하여 기술하라. (변형 2),vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타데이터 권한필터,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 2),vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타,vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타데이터 권한필터,plan.md,"검증, py, test",2026-06-22
